DATE,EMRATIO,GovDebt%,Pers_Sav%,Trade_Bal(com)%,Inf%,GINI_INDEX,C_Sent(IND),DispIncCHAINED,C_Accounts%GDP,PCE(IND),NonFarmEmp%,LF_Part%,unemp%,LifeExp,USDJPY,M2chained,HOUST%,Age_Dep%,Cap_Ex%,PPI(IND),Ind Prod%,M2V_prop,Gov Def%,CO2,Corp_prof%,GPDI%,IR%,GovC+I,GDP
1954-01-01,55.4833333333333333,5.76843,,,,,83.9666666666666667,,,,-2.41815,58.7833333333333333,5.5916666666666667,,,,,,,29.2583333333333333,-5.66076,,,,1.03535,-3.88274,,1075.0637500000000000,2877.7077500000000000
1955-01-01,56.6250000000000000,3.59665,,,,,98.2333333333333333,,,,3.36051,59.2250000000000000,4.3666666666666667,,,,,,,29.3583333333333333,12.78949,,,,26.47153,27.01226,1.7886027397260274,1040.2647500000000000,3083.0257500000000000
1956-01-01,57.5000000000000000,11.66519,,63.09836,,,99.4333333333333333,,,,3.41271,59.9666666666666667,4.1250000000000000,,,,,,,30.2833333333333333,4.32603,,,,4.66422,5.32711,2.7295901639344262,1042.7572500000000000,3148.7650000000000000
1957-01-01,57.0666666666666667,11.90503,,38.08678,,,88.3000000000000000,,,,0.93151,59.6250000000000000,4.3000000000000000,,,,,,,31.1750000000000000,1.42409,,,,-2.32324,-1.51769,3.1053424657534247,1090.7807500000000000,3215.0652500000000000
1958-01-01,55.4250000000000000,1.48515,,-45.47807,,,83.4000000000000000,,,,-2.89338,59.4916666666666667,6.8416666666666667,,,,,,,31.5916666666666667,-6.48358,,,,-12.28423,-7.26229,1.5723561643835616,1127.2827500000000000,3191.2160000000000000
1959-01-01,56.0416666666666667,13.89746,10.3333333333333333,-65.14534,,,94.5500000000000000,2358.2166666666666667,,2.3862,3.78676,59.2750000000000000,5.4500000000000000,,,1006.1500000000000000,,,,31.6666666666666667,11.95621,1.7785000000000000,,,24.62908,20.74808,3.3100821917808219,1155.7630000000000000,3412.4212500000000000
1960-01-01,56.1000000000000000,21.30059,10.0666666666666667,266.29331,1.45797598627783,,95.1500000000000000,2419.8000000000000000,0.52078580000000000000,2.49185,1.72702,59.4166666666666667,5.5416666666666667,69.7707317073171,,1028.4500000000000000,-18.19366,15.3957414944803,,31.6833333333333333,2.25827,1.7827500000000000,,,-3.53217,0.94404,3.2117486338797814,1163.0920000000000000,3500.2725000000000000
1961-01-01,55.3666666666666667,0.16573,11.2833333333333333,20.14871,1.07072414764754,,94.0750000000000000,2504.8416666666666667,0.68256382500000002500,2.56941,-0.35194,59.3250000000000000,6.6916666666666667,70.2707317073171,,1086.3083333333333333,4.41879,15.5752613547294,3.57111,31.5750000000000000,0.66535,1.7307500000000000,-291.67604,,-0.83287,0.12200,1.9496712328767123,1226.0910000000000000,3590.0662500000000000
1962-01-01,55.5083333333333333,8.67563,11.2000000000000000,-15.09631,1.19877334820149,,95.4750000000000000,2626.6916666666666667,0.56015815000000002000,2.72805,2.87739,58.7666666666666667,5.5666666666666667,70.119512195122,,1157.1500000000000000,11.21489,15.658327712649,8.06918,31.6500000000000000,8.33407,1.7252500000000000,-16.82805,,13.26988,12.00402,2.7103013698630137,1306.5052500000000000,3810.1232500000000000
1963-01-01,55.3500000000000000,7.59251,10.7333333333333333,13.19575,1.23966942148761,37.6,95.2250000000000000,2725.8333333333333333,0.69086719999999997500,2.87445,1.98918,58.6583333333333333,5.6416666666666667,69.9170731707317,,1239.0916666666666667,8.89562,15.759153616408,6.46517,31.5750000000000000,6.12787,1.6792500000000000,-18.01023,,8.40197,6.50464,3.1787397260273973,1338.2517500000000000,3976.1417500000000000
1964-01-01,55.6666666666666667,7.61043,11.5916666666666667,33.59497,1.27891156462591,38.1,99.6250000000000000,2919.2833333333333333,0.99775580000000000000,3.08964,2.86729,58.7166666666666667,5.1583333333333333,70.1658536585366,,1318.6583333333333333,-3.01679,15.8800998622686,8.17651,31.6333333333333333,6.73223,1.6727500000000000,12.73666,,15.27993,8.58474,3.4960928961748634,1371.1292500000000000,4205.2772500000000000
