DATE,GDP,IR%,CO2,unemp%,Inf%,GINI_INDEX,C_Sent(IND),LifeExp
1971-01-01,5491.4455000000000000,4.6679452054794521,4297.282895,5.9500000000000000,4.29276668813068,36.9,80.6000000000000000,71.1073170731707
1972-01-01,5780.0482500000000000,4.4371311475409836,4516.734358,5.6000000000000000,3.27227824655272,36.7,91.8250000000000000,71.1560975609756
1973-01-01,6106.3705000000000000,8.7422739726027397,4713.330487,4.8583333333333333,6.17776006377044,36.1,76.8500000000000000,71.3560975609756
1974-01-01,6073.3627500000000000,10.5113972602739726,4541.830703,5.6416666666666667,11.0548048048047,35.5,64.4500000000000000,71.9560975609756
1975-01-01,6060.8752500000000000,5.8211780821917808,4417.512241,8.4750000000000000,9.14314686496539,35.7,70.4250000000000000,72.6048780487805
1976-01-01,6387.4365000000000000,5.0450819672131148,4686.283359,7.7000000000000000,5.74481263549081,35.6,86.1500000000000000,72.8560975609756
1977-01-01,6682.8045000000000000,5.5423013698630137,4824.597268,7.0500000000000000,6.5016839947284,35.5,87.6750000000000000,73.2560975609756
1978-01-01,7052.7112500000000000,7.9368767123287671,4866.074825,6.0666666666666667,7.63096383885606,34.8,79.4083333333333333,73.3560975609756
1979-01-01,7275.9992500000000000,11.2027945205479452,4922.312683,5.8500000000000000,11.2544711292794,34.8,66.0250000000000000,73.8048780487805
1980-01-01,7257.3165000000000000,13.3497267759562842,4749.052957,7.1750000000000000,13.5492019749685,34.7,64.4166666666666667,73.609756097561
1981-01-01,7441.4850000000000000,16.3863561643835616,4628.019975,7.6166666666666667,10.3347153402771,35.5,70.6750000000000000,74.009756097561
1982-01-01,7307.3140000000000000,12.2376712328767123,4385.177461,9.7083333333333333,6.13142700027493,36.7,67.9750000000000000,74.3609756097561
1983-01-01,7642.2655000000000000,9.0902739726027397,4373.028419,9.6000000000000000,3.21243523316069,37.3,87.3833333333333333,74.4634146341463
1984-01-01,8195.2952500000000000,10.2250819672131148,4598.042726,7.5083333333333333,4.30053547523424,37.3,97.4750000000000000,74.5634146341464
1985-01-01,8537.0037500000000000,8.0996712328767123,4602.38824,7.1916666666666667,3.54564415209365,37.6,93.1666666666666667,74.5634146341464
1986-01-01,8832.6112500000000000,6.7994794520547945,4605.299068,7.0000000000000000,1.89804772234276,37.6,94.7916666666666667,74.6146341463415
1987-01-01,9137.7447500000000000,6.6603561643835616,4756.601275,6.1750000000000000,3.6645632175169,37.2,90.6416666666666667,74.7658536585366
1988-01-01,9519.4267500000000000,7.5718032786885246,4984.97043,5.4916666666666667,4.07774110744403,37.7,93.7333333333333333,74.7658536585366
1989-01-01,9869.0032500000000000,9.2149041095890411,5060.946773,5.2583333333333333,4.82700303008954,38.2,92.7583333333333333,75.0170731707317
1990-01-01,10055.1285000000000000,8.0965205479452055,5021.814482,5.6166666666666667,5.39795643990325,38.3,81.6166666666666667,75.2146341463415
1991-01-01,10044.2375000000000000,5.6850136986301370,4971.1206,6.8500000000000000,4.23496396453849,38.0,77.5500000000000000,75.3658536585366
1992-01-01,10398.0462500000000000,3.5210655737704918,5062.695567,7.4916666666666667,3.02881967814969,38.4,77.2500000000000000,75.6170731707317
1993-01-01,10684.1787500000000000,3.0213424657534247,5165.350744,6.9083333333333333,2.95165696638559,40.4,82.7916666666666667,75.419512195122
1994-01-01,11114.6462500000000000,4.2063287671232877,5240.403217,6.1000000000000000,2.60744159215457,40.0,92.2666666666666667,75.619512195122
1995-01-01,11413.0122500000000000,5.8343013698630137,5305.258704,5.5916666666666667,2.80541968853654,39.9,92.2416666666666667,75.6219512195122
1996-01-01,11843.5990000000000000,5.3004644808743169,5503.136893,5.4083333333333333,2.93120419993445,40.3,93.6083333333333333,76.0268292682927
1997-01-01,12370.2995000000000000,5.4615068493150685,5576.384129,4.9416666666666667,2.33768993730738,40.5,103.2166666666666667,76.4292682926829
1998-01-01,12924.875750000000,5.3509315068493151,5612.864254,4.5000000000000000,1.55227909874361,40.0,104.6166666666666667,76.5804878048781
1999-01-01,13543.774000000000,4.9723561643835616,5676.250234,4.2166666666666667,2.18802719697358,40.0,105.8250000000000000,76.5829268292683
2000-01-01,14096.033000000000,6.2374316939890710,5864.979041,3.9666666666666667,3.37685727149929,40.1,107.5750000000000000,76.6365853658537
2001-01-01,14230.726000000000,3.8783561643835616,5755.491594,4.7416666666666667,2.82617111885407,40.6,89.2416666666666667,76.8365853658537
2002-01-01,14472.711500000000,1.6667945205479452,5793.81817,5.7833333333333333,1.58603162650601,40.4,89.5833333333333333,76.9365853658537
2003-01-01,14877.312500000000,1.1264931506849315,5865.240171,5.9916666666666667,2.27009497336115,40.8,87.6250000000000000,77.0365853658537
2004-01-01,15449.757250000000,1.3503278688524590,5963.808672,5.5416666666666667,2.67723669309172,40.3,95.2000000000000000,77.4878048780488
2005-01-01,15987.957500000000,3.2170684931506849,5989.183004,5.0833333333333333,3.3927468454955,41.0,88.5500000000000000,77.4878048780488
2006-01-01,16433.147500000000,4.9654246575342466,5906.163297,4.6083333333333333,3.22594410070406,41.4,87.3083333333333333,77.6878048780488
2007-01-01,16762.445500000000,5.0173150684931507,5996.429314,4.6166666666666667,2.85267248150136,40.8,85.5833333333333333,77.9878048780488
2008-01-01,16781.484750000000,1.9241803278688525,5803.598894,5.8000000000000000,3.83910029665096,40.8,63.7500000000000000,78.0390243902439
2009-01-01,16349.110500000000,0.15860273972602739726,5395.847121,9.2833333333333333,-0.355546266299717,40.6,66.2583333333333333,78.390243902439
